open,high,low,close,volume
176.64999,178.42,174.8,177.14999,57549400
176.75,179.08,176.50999,178.72,52517000
181.42,181.92999,178.14,178.85001,51427100
180.07001,182.34,179.03999,180.71001,56743100
178.2,179.85001,177.60001,179.8,47551100
178.10001,179.72,177.95,178.39,43698000
176.81,179.05,175.8,178.99001,42390800
173.8,177.99001,173.17999,177.49001,57224100
173.78999,175.45,172.67999,174.91,48527900
171.09,174.21001,170.97,173.66,53020300
172.25999,173.63,170.82001,172.39999,49594600
171.22,174.3,170.92999,173.75,52164500
172.02,173.07001,170.34,171.21001,51814200
169.34,172.03,167.62,170.69,56294400
172.62,173.03999,169.05,170.42999,66921800
174.82001,175.2,171.66,171.96001,64588900
174.2,176.97,174.14999,176.08,46172700
174.67,177.08,174.05,174.78999,56725400
174.55,176.3,173.86,173.92999,63047900
179.25999,179.7,175.39999,175.49001,58436200
177.52,179.63,177.13,179.07001,51826900
176.48,179.38,176.17,177.97,67257600
176.48,176.5,173.82001,175.00999,109205100
174.0,176.10001,173.58,175.74001,60895800
176.50999,177.3,173.98,174.21001,84267900
179.49001,180.13,174.82001,176.3,90370200
180.07001,180.3,177.34,179.36,58953100
178.35001,180.24001,177.78999,178.17999,65551300
175.17999,178.21001,173.53999,177.56,112488800
188.39999,188.85001,181.47,182.91,81755800
188.28,189.98,187.61,189.7,45280000
189.49001,189.92,188.28,189.46001,45732600
187.84,189.12,187.48,187.87,60794500
184.94,187.85001,184.74001,187.64999,60813900
179.7,184.89999,179.5,184.12,53003900
180.09,180.59,178.55,180.19,43820700
177.38,179.14999,175.82001,178.61,51449600
180.67,181.10001,176.00999,176.38,54945800
178.52,181.55,178.33,181.12,52722800
177.06,177.67999,176.25,177.23,42084200
175.07001,176.13,173.74001,175.84,46311900
172.3,175.10001,171.96001,174.49001,61114200
177.14,177.50999,173.48,174.0,66062900
177.13,178.53999,176.5,176.57001,46964900
178.88,179.48,177.05,177.45,43622600
177.97,179.69,177.31,179.46001,43675600
177.32001,178.62,176.55,177.78999,51988100
179.48,180.75,177.60001,177.97,54686900
180.87,180.92999,177.00999,178.19,60378500
179.69,180.27,177.58,179.8,67823000
182.13,183.13,177.35001,178.85001,97576100
185.52,187.38,181.92,181.99001,115799700
191.57001,192.37,190.69,191.17,61235200
195.03999,195.17999,191.85001,192.58,50389300
196.24001,196.73,195.28,195.61,35175100
196.06,196.49001,195.25999,196.45,38824100
194.67,196.63,194.14,195.83,48291400
196.02,197.2,192.55,193.22,47460200
193.67,195.64,193.32001,194.5,47471900
193.33,194.44,192.92,193.62,37283200
193.41,194.91,192.25,192.75,45377800
194.10001,194.97,191.23,191.94,71917800
195.09,196.47,192.5,193.13,59581200
193.10001,198.23,192.64999,195.10001,80507300
193.35001,194.33,192.42,193.73,48353800
191.89999,194.32001,191.81,193.99001,50520200
190.23,191.17999,189.63,190.69,41573900
190.5,191.19,189.78,190.53999,41342300
189.67999,191.7,188.47,189.77,60750200
189.16,189.3,186.60001,188.08,46638100
189.25999,189.99001,187.03999,188.61,59922200
191.41,192.67,190.24001,190.67999,46778000
189.84,192.02,189.2,191.81,45094300
191.57001,192.98,190.62,191.33,46920300
193.78,193.88,191.75999,192.46001,31458200
191.63,194.48,191.25999,193.97,85069600
189.08,190.07001,188.94,189.59,46347300
187.92999,189.89999,187.60001,189.25,51216800
185.89,188.39,185.67,188.06,50730800
186.83,188.05,185.23,185.27,48088700
185.55,187.56,185.00999,186.67999,53079300
183.74001,187.05,183.67,187.0,51245300
184.89999,185.41,182.59,183.96001,49515700
184.41,186.10001,184.41,185.00999,49799100
186.73,186.99001,184.27,184.92,101235600
183.96001,186.52,183.78,186.00999,65433200
183.37,184.39,182.02,183.95,57462900
182.8,184.14999,182.44,183.31,54929100
181.27,183.89,180.97,183.78999,54274900
181.5,182.23,180.63,180.96001,48870700
177.89999,180.84,177.46001,180.57001,50214900
178.44,181.21001,177.32001,177.82001,61944600
179.97,180.12,177.42999,179.21001,64848400
182.63,184.95,178.03999,179.58,121946500
181.03,181.78,179.25999,180.95,61945900
177.7,180.12,176.92999,180.09,68901800
177.33,179.35001,176.75999,177.25,99625300
176.96001,178.99001,176.57001,177.3,55964400
173.32001,175.77,173.11,175.42999,54835000
172.41,173.89999,171.69,172.99001,56058300
171.09,172.42,170.52,171.84,45143500
173.13,173.38,171.28,171.56,50747300
173.98,174.71001,173.45,174.2,43570900
176.39,176.39,174.94,175.16,55772400
173.0,175.24001,172.58,175.05,65496700
171.71001,172.92999,170.42,172.69,57951600
171.99001,173.14,171.8,172.07001,42110300
173.16,173.21001,171.47,172.07001,37266700
173.62,174.06,171.0,172.57001,45497800
173.85001,174.59,172.17,173.75,49514700
173.02,174.03,171.89999,173.56,53724500
173.05,173.53999,171.60001,171.77,45326900
172.48,173.85001,172.11,173.5,55962800
170.98,174.3,170.75999,173.57001,113316400
164.89,167.03999,164.31,165.78999,81235400
169.5,170.92,167.16,167.45,65136000
170.09,170.35001,167.53999,168.53999,48425700
169.28,170.45,168.64,169.59,52472900
168.49001,169.85001,167.88,169.67999,55209200
165.19,168.56,165.19,168.41,64902300
163.06,165.28,162.8,163.75999,45498800
165.19,166.31,163.73,163.77,48714100
165.0,165.60001,163.89,165.33,41949600
165.05,166.45,164.49001,165.02,58337300
166.09,167.87,165.56,166.64999,52456400
165.8,168.16,165.53999,167.63,47720200
166.10001,167.41,165.64999,166.47,49923000
